Country:text,Period:text,Year:year,values:number
Austria,1992-2017,1992,168
Austria,1992-2017,1993,222
Austria,1992-2017,1994,174
Austria,1992-2017,1995,167
Austria,1992-2017,1996,133
Austria,1992-2017,1997,155
Austria,1992-2017,1998,118
Austria,1992-2017,1999,97
Austria,1992-2017,2000,93
Austria,1992-2017,2001,94
Austria,1992-2017,2002,95
Austria,1992-2017,2003,83
Austria,1992-2017,2004,82
Austria,1992-2017,2005,77
Austria,1992-2017,2006,84
Austria,1992-2017,2007,54
Austria,1992-2017,2008,50
Austria,1992-2017,2009,52
Austria,1992-2017,2010,46
Austria,1992-2017,2011,49
Austria,1992-2017,2012,47
Austria,1992-2017,2013,46
Austria,1992-2017,2014,44
Austria,1992-2017,2015,44
Austria,1992-2017,2016,44
Austria,1992-2017,2017,44
Belgium,1992-2017,1992,1594
Belgium,1992-2017,1993,1737
Belgium,1992-2017,1994,1490
Belgium,1992-2017,1995,1565
Belgium,1992-2017,1996,1845
Belgium,1992-2017,1997,1614
Belgium,1992-2017,1998,1151
Belgium,1992-2017,1999,1033
Belgium,1992-2017,2000,873
Belgium,1992-2017,2001,641
Belgium,1992-2017,2002,686
Belgium,1992-2017,2003,955
Belgium,1992-2017,2004,899
Belgium,1992-2017,2005,853
Belgium,1992-2017,2006,738
Belgium,1992-2017,2007,650
Belgium,1992-2017,2008,521
Belgium,1992-2017,2009,579
Belgium,1992-2017,2010,528
Belgium,1992-2017,2011,487
Belgium,1992-2017,2012,434
Belgium,1992-2017,2013,370
Belgium,1992-2017,2014,353
Belgium,1992-2017,2015,311
Belgium,1992-2017,2016,336
Belgium,1992-2017,2017,425
Bulgaria,1992-2017,1992,1137
Bulgaria,1992-2017,1993,1400
Bulgaria,1992-2017,1994,1314
Bulgaria,1992-2017,1995,985
Bulgaria,1992-2017,1996,852
Bulgaria,1992-2017,1997,640
Bulgaria,1992-2017,1998,596
Bulgaria,1992-2017,1999,484
Bulgaria,1992-2017,2000,613
Bulgaria,1992-2017,2001,489
Bulgaria,1992-2017,2002,496
Bulgaria,1992-2017,2003,478
Bulgaria,1992-2017,2004,387
Bulgaria,1992-2017,2005,291
Bulgaria,1992-2017,2006,406
Bulgaria,1992-2017,2007,557
Bulgaria,1992-2017,2008,341
Bulgaria,1992-2017,2009,392
Bulgaria,1992-2017,2010,216
Bulgaria,1992-2017,2011,342
Bulgaria,1992-2017,2012,304
Bulgaria,1992-2017,2013,245
Bulgaria,1992-2017,2014,186
Bulgaria,1992-2017,2015,127
Bulgaria,1992-2017,2016,138
Bulgaria,1992-2017,2017,176
Estonia,1992-2017,1992,290
Estonia,1992-2017,1993,212
Estonia,1992-2017,1994,188
Estonia,1992-2017,1995,100
Estonia,1992-2017,1996,129
Estonia,1992-2017,1997,64
Estonia,1992-2017,1998,76
Estonia,1992-2017,1999,84
Estonia,1992-2017,2000,68
Estonia,1992-2017,2001,81
Estonia,1992-2017,2002,95
Estonia,1992-2017,2003,124
Estonia,1992-2017,2004,74
Estonia,1992-2017,2005,87
Estonia,1992-2017,2006,123
Estonia,1992-2017,2007,56
Estonia,1992-2017,2008,51
Estonia,1992-2017,2009,84
Estonia,1992-2017,2010,77
Estonia,1992-2017,2011,66
Estonia,1992-2017,2012,58
Estonia,1992-2017,2013,53
Estonia,1992-2017,2014,43
Estonia,1992-2017,2015,31
Estonia,1992-2017,2016,51
Estonia,1992-2017,2017,32
Finland,1992-2017,1992,45
Finland,1992-2017,1993,57
Finland,1992-2017,1994,52
Finland,1992-2017,1995,43
Finland,1992-2017,1996,52
Finland,1992-2017,1997,46
Finland,1992-2017,1998,46
Finland,1992-2017,1999,42
Finland,1992-2017,2000,37
Finland,1992-2017,2001,35
Finland,1992-2017,2002,32
Finland,1992-2017,2003,59
Finland,1992-2017,2004,41
Finland,1992-2017,2005,35
Finland,1992-2017,2006,39
Finland,1992-2017,2007,29
Finland,1992-2017,2008,26
Finland,1992-2017,2009,35
Finland,1992-2017,2010,34
Finland,1992-2017,2011,34
Finland,1992-2017,2012,28
Finland,1992-2017,2013,18
Finland,1992-2017,2014,17
Finland,1992-2017,2015,14
Finland,1992-2017,2016,15
Finland,1992-2017,2017,16
France,1992-2017,1992,346
