Country:text,Period:text,Year:year,mg N/l:number
Belgium,1992-2017,1992,4.61
Belgium,1992-2017,1993,4.23
Belgium,1992-2017,1994,4.4
Belgium,1992-2017,1995,4.03
Belgium,1992-2017,1996,4.26
Belgium,1992-2017,1997,4.03
Belgium,1992-2017,1998,4.95
Belgium,1992-2017,1999,4.41
Belgium,1992-2017,2000,4.65
Belgium,1992-2017,2001,4.4
Belgium,1992-2017,2002,3.96
Belgium,1992-2017,2003,3.52
Belgium,1992-2017,2004,3.91
Belgium,1992-2017,2005,3.84
Belgium,1992-2017,2006,4.16
Belgium,1992-2017,2007,4.27
Belgium,1992-2017,2008,4.06
Belgium,1992-2017,2009,3.49
Belgium,1992-2017,2010,3.68
Belgium,1992-2017,2011,3.3
Belgium,1992-2017,2012,3.89
Belgium,1992-2017,2013,3.6
Belgium,1992-2017,2014,3.29
Belgium,1992-2017,2015,3.34
Belgium,1992-2017,2016,3.66
Belgium,1992-2017,2017,3.18
Czechia,1992-2017,1992,3.95
Czechia,1992-2017,1993,3.58
Czechia,1992-2017,1994,4.06
Czechia,1992-2017,1995,3.96
Czechia,1992-2017,1996,4.06
Czechia,1992-2017,1997,3.56
Czechia,1992-2017,1998,3.44
Czechia,1992-2017,1999,3.38
Czechia,1992-2017,2000,3.26
Czechia,1992-2017,2001,3.32
Czechia,1992-2017,2002,3.38
Czechia,1992-2017,2003,3.03
Czechia,1992-2017,2004,3.23
Czechia,1992-2017,2005,2.97
Czechia,1992-2017,2006,3.29
Czechia,1992-2017,2007,3.14
Czechia,1992-2017,2008,2.98
Czechia,1992-2017,2009,3.56
Czechia,1992-2017,2010,3.7
Czechia,1992-2017,2011,3.23
Czechia,1992-2017,2012,2.75
Czechia,1992-2017,2013,3.35
Czechia,1992-2017,2014,2.77
Czechia,1992-2017,2015,2.78
Czechia,1992-2017,2016,2.85
Czechia,1992-2017,2017,2.45
Denmark,1992-2017,1992,7.98
Denmark,1992-2017,1993,7.33
Denmark,1992-2017,1994,6.01
Denmark,1992-2017,1995,5.55
Denmark,1992-2017,1996,5.32
Denmark,1992-2017,1997,5.48
Denmark,1992-2017,1998,6.59
Denmark,1992-2017,1999,5.3
Denmark,1992-2017,2000,5.06
Denmark,1992-2017,2001,4.79
Denmark,1992-2017,2002,4.73
Denmark,1992-2017,2003,4.33
Denmark,1992-2017,2004,5.16
Denmark,1992-2017,2005,4.44
Denmark,1992-2017,2006,4.99
Denmark,1992-2017,2007,3.62
Denmark,1992-2017,2008,3.68
Denmark,1992-2017,2009,3.46
Denmark,1992-2017,2010,3.64
Denmark,1992-2017,2011,3.18
Denmark,1992-2017,2012,3.22
Denmark,1992-2017,2013,3.99
Denmark,1992-2017,2014,4.1
Denmark,1992-2017,2015,3.19
Denmark,1992-2017,2016,3.09
Denmark,1992-2017,2017,3.56
Estonia,1992-2017,1992,1.65
Estonia,1992-2017,1993,1.54
Estonia,1992-2017,1994,1.25
Estonia,1992-2017,1995,1.27
Estonia,1992-2017,1996,1.41
Estonia,1992-2017,1997,1.52
Estonia,1992-2017,1998,1.56
Estonia,1992-2017,1999,1.37
Estonia,1992-2017,2000,1.46
Estonia,1992-2017,2001,1.55
Estonia,1992-2017,2002,1.51
Estonia,1992-2017,2003,1.48
Estonia,1992-2017,2004,1.62
Estonia,1992-2017,2005,1.46
Estonia,1992-2017,2006,1.4
Estonia,1992-2017,2007,1.84
Estonia,1992-2017,2008,2.01
Estonia,1992-2017,2009,1.59
Estonia,1992-2017,2010,1.48
Estonia,1992-2017,2011,1.64
Estonia,1992-2017,2012,1.74
Estonia,1992-2017,2013,1.79
Estonia,1992-2017,2014,1.85
Estonia,1992-2017,2015,1.91
Estonia,1992-2017,2016,1.96
Estonia,1992-2017,2017,1.72
Finland,1992-2017,1992,0.32
Finland,1992-2017,1993,0.29
Finland,1992-2017,1994,0.25
Finland,1992-2017,1995,0.31
Finland,1992-2017,1996,0.43
Finland,1992-2017,1997,0.35
Finland,1992-2017,1998,0.39
Finland,1992-2017,1999,0.3
Finland,1992-2017,2000,0.41
Finland,1992-2017,2001,0.37
Finland,1992-2017,2002,0.28
Finland,1992-2017,2003,0.45
Finland,1992-2017,2004,0.47
Finland,1992-2017,2005,0.38
Finland,1992-2017,2006,0.43
Finland,1992-2017,2007,0.4
Finland,1992-2017,2008,0.36
Finland,1992-2017,2009,0.29
Finland,1992-2017,2010,0.35
Finland,1992-2017,2011,0.42
Finland,1992-2017,2012,0.38
Finland,1992-2017,2013,0.34
Finland,1992-2017,2014,0.36
Finland,1992-2017,2015,0.39
Finland,1992-2017,2016,0.32
Finland,1992-2017,2017,0.32
France,1992-2017,1992,2.13
France,1992-2017,1993,2.23
France,1992-2017,1994,2.33
France,1992-2017,1995,2.26
France,1992-2017,1996,2.2
France,1992-2017,1997,2.18
France,1992-2017,1998,2.26
France,1992-2017,1999,2.3
France,1992-2017,2000,2.38
France,1992-2017,2001,2.26
France,1992-2017,2002,2.18
France,1992-2017,2003,2.11
France,1992-2017,2004,2.34
France,1992-2017,2005,2.17
France,1992-2017,2006,2.38
France,1992-2017,2007,2.24
France,1992-2017,2008,2.28
France,1992-2017,2009,2.17
France,1992-2017,2010,2.14
France,1992-2017,2011,1.92
France,1992-2017,2012,2.07
France,1992-2017,2013,2.31
France,1992-2017,2014,2.11
France,1992-2017,2015,2.0
France,1992-2017,2016,2.63
France,1992-2017,2017,2.56
Germany,1992-2017,1992,4.18
Germany,1992-2017,1993,4.27
Germany,1992-2017,1994,4.31
Germany,1992-2017,1995,4.08
Germany,1992-2017,1996,3.94
Germany,1992-2017,1997,3.82
Germany,1992-2017,1998,3.81
Germany,1992-2017,1999,3.68
Germany,1992-2017,2000,3.47
Germany,1992-2017,2001,3.42
Germany,1992-2017,2002,3.56
Germany,1992-2017,2003,3.26
Germany,1992-2017,2004,3.36
Germany,1992-2017,2005,3.22
Germany,1992-2017,2006,3.22
Germany,1992-2017,2007,3.22
Germany,1992-2017,2008,3.21
Germany,1992-2017,2009,3.03
Germany,1992-2017,2010,3.35
Germany,1992-2017,2011,3.11
Germany,1992-2017,2012,2.82
Germany,1992-2017,2013,3.2
Germany,1992-2017,2014,2.79
Germany,1992-2017,2015,2.83
Germany,1992-2017,2016,2.83
Germany,1992-2017,2017,2.83
Ireland,1992-2017,1992,1.37
Ireland,1992-2017,1993,1.37
Ireland,1992-2017,1994,1.37
Ireland,1992-2017,1995,1.54
Ireland,1992-2017,1996,1.72
Ireland,1992-2017,1997,1.9
Ireland,1992-2017,1998,1.66
Ireland,1992-2017,1999,1.43
Ireland,1992-2017,2000,1.48
Ireland,1992-2017,2001,1.43
Ireland,1992-2017,2002,1.85
Ireland,1992-2017,2003,1.83
Ireland,1992-2017,2004,1.76
Ireland,1992-2017,2005,1.97
Ireland,1992-2017,2006,1.91
Ireland,1992-2017,2007,1.89
Ireland,1992-2017,2008,1.82
Ireland,1992-2017,2009,1.5
Ireland,1992-2017,2010,1.36
Ireland,1992-2017,2011,1.42
Ireland,1992-2017,2012,1.47
Ireland,1992-2017,2013,1.35
Ireland,1992-2017,2014,1.55
Ireland,1992-2017,2015,1.46
Ireland,1992-2017,2016,1.2
Ireland,1992-2017,2017,1.42
Latvia,1992-2017,1992,1.66
Latvia,1992-2017,1993,1.74
Latvia,1992-2017,1994,1.39
Latvia,1992-2017,1995,1.39
Latvia,1992-2017,1996,1.4
Latvia,1992-2017,1997,1.17
Latvia,1992-2017,1998,1.0
Latvia,1992-2017,1999,0.92
Latvia,1992-2017,2000,1.04
Latvia,1992-2017,2001,0.99
Latvia,1992-2017,2002,1.0
Latvia,1992-2017,2003,0.93
Latvia,1992-2017,2004,1.13
Latvia,1992-2017,2005,0.98
Latvia,1992-2017,2006,1.11
Latvia,1992-2017,2007,1.75
Latvia,1992-2017,2008,1.35
Latvia,1992-2017,2009,1.52
Latvia,1992-2017,2010,0.7
Latvia,1992-2017,2011,0.51
Latvia,1992-2017,2012,0.66
Latvia,1992-2017,2013,0.94
Latvia,1992-2017,2014,1.22
Latvia,1992-2017,2015,1.26
Latvia,1992-2017,2016,1.26
Latvia,1992-2017,2017,1.26
Lithuania,1992-2017,1992,1.95
Lithuania,1992-2017,1993,1.38
Lithuania,1992-2017,1994,1.29
Lithuania,1992-2017,1995,1.44
Lithuania,1992-2017,1996,1.04
Lithuania,1992-2017,1997,1.66
Lithuania,1992-2017,1998,2.24
Lithuania,1992-2017,1999,1.51
Lithuania,1992-2017,2000,1.7
